,date,word,link
0,Aug 01,pulchritude,https://www.merriam-webster.com/word-of-the-day/pulchritude-2021-08-01
1,Aug 02,exemplary,https://www.merriam-webster.com/word-of-the-day/exemplary-2021-08-02
2,Aug 03,berate,https://www.merriam-webster.com/word-of-the-day/berate-2021-08-03
3,Aug 04,flexuous,https://www.merriam-webster.com/word-of-the-day/flexuous-2021-08-04
4,Aug 05,infix,https://www.merriam-webster.com/word-of-the-day/infix-2021-08-05
5,Aug 06,moot,https://www.merriam-webster.com/word-of-the-day/moot-2021-08-06
6,Aug 07,pink,https://www.merriam-webster.com/word-of-the-day/pink-2021-08-07
7,Aug 08,resilience,https://www.merriam-webster.com/word-of-the-day/resilience-2021-08-08
8,Aug 09,abject,https://www.merriam-webster.com/word-of-the-day/abject-2021-08-09
9,Aug 10,garnish,https://www.merriam-webster.com/word-of-the-day/garnish-2021-08-10
10,Aug 11,nimrod,https://www.merriam-webster.com/word-of-the-day/nimrod-2021-08-11
11,Aug 12,callow,https://www.merriam-webster.com/word-of-the-day/callow-2021-08-12
12,Aug 13,kvell,https://www.merriam-webster.com/word-of-the-day/kvell-2021-08-13
13,Aug 14,scuttlebutt,https://www.merriam-webster.com/word-of-the-day/scuttlebutt-2021-08-14
14,Aug 15,undulant,https://www.merriam-webster.com/word-of-the-day/undulant-2021-08-15
15,Aug 16,bromide,https://www.merriam-webster.com/word-of-the-day/bromide-2021-08-16
16,Aug 17,tousle,https://www.merriam-webster.com/word-of-the-day/tousle-2021-08-17
17,Aug 18,defenestration,https://www.merriam-webster.com/word-of-the-day/defenestration-2021-08-18
18,Aug 19,winnow,https://www.merriam-webster.com/word-of-the-day/winnow-2021-08-19
19,Aug 20,aghast,https://www.merriam-webster.com/word-of-the-day/aghast-2021-08-20
20,Aug 21,sophistry,https://www.merriam-webster.com/word-of-the-day/sophistry-2021-08-21
21,Aug 22,liminal,https://www.merriam-webster.com/word-of-the-day/liminal-2021-08-22
22,Aug 23,emigrate,https://www.merriam-webster.com/word-of-the-day/emigrate-2021-08-23
